"T","Na","Na2","NaO","Na2O2","Na2SO4","O","O3","S","S2","S3","S4","S5","S6","S7","S8","SO","SO3","S2O","O2","SO2"
318.0,-112.53890880972038,-199.0286393631911,-167.6657126428439,-221.31017010213466,-117.84258102762952,-147.75965996507324,-228.15245610569224,-210.5873742598805,-263.8785219476275,-377.1706266759977,-490.1889772573077,-603.3194750776349,-708.7379126999498,-825.4705457442386,-934.2930104531741,-166.01073884173823,-139.81647545595575,-254.2981902750305,-113.23205599028174,-113.23205599028316
319.0,-112.15538600304643,-198.34461478016487,-167.09161359518944,-220.55480031203172,-117.42720281338059,-147.27387353992225,-227.40652143786264,-209.90771423092525,-263.0253347378705,-375.9603103400481,-488.6214288161932,-601.4153253014433,-706.5067566200073,-822.8743666004826,-931.3576995213101,-165.461080037586,-139.3569559722364,-253.47092739593558,-112.8485331836079,-112.84853318360945
320.0,-111.77427615914849,-197.66489209841137,-166.52112167725957,-219.80418114037934,-117.01445799699351,-146.79112775662367,-226.66527260066704,-209.23229687329524,-262.17747684955924,-374.75754640842086,-487.0636499159146,-599.5230441676721,-704.289497040604,-820.294356795164,-928.440660084151,-164.91486384405772,-138.9003314059906,-252.64883809591504,-112.46742333971008,-112.46742333971173
321.0,-111.39555672381647,-196.98943111864293,-165.95420317054138,-219.05826816755575,-116.60432188897822,-146.31139421319804,-225.9286657478956,-208.56108258190943,-261.33489852072273,-373.5622643801173,-485.5155494076096,-597.642520886619,-702.0860042947164,-817.7303654319517,-925.5417216854485,-164.37205810133807,-138.4465746627099,-251.83187405531527,-112.08870390437822,-112.08870390438
322.0,-111.01920542256848,-196.31819213999452,-165.39082477510067,-218.3170175252508,-116.19677010620077,-145.83464486032295,-225.19665757795383,-207.8940322438071,-260.49755060786447,-372.3743946304153,-483.9770372749787,-595.773646046087,-699.8961503271062,-815.1822434905426,-922.6607159876071,-163.83263104910594,-137.99565898405754,-251.01998755478243,-111.71235260313037,-111.7123526031323
323.0,-110.64520025633442,-195.651135952338,-164.83095360311373,-217.58038588795597,-115.79177856717727,-145.36085199587546,-224.46920532544544,-207.23110723051445,-259.6653845763658,-371.1938683972702,-482.4480246167107,-593.9163115899963,-697.7198086692972,-812.6498437975316,-919.7974767387904,-163.29655132034574,-137.54755794268587,-250.21313146595966,-111.33834743689644,-111.33834743689852
324.0,-110.27351949721938,-194.98822382873544,-164.27455717251652,-216.84833046460824,-115.38932348744888,-144.889988259576,-223.74626675291037,-206.57226939055374,-258.8383524910697,-370.020617767969,-480.92842362923795,-592.0704107973904,-695.556854415018,-810.133020997822,-916.9518397406426,-162.76378793527368,-137.10224543714975,-249.41125924235808,-110.96666667778152,-110.96666667778375
325.0,-109.90414168434484,-194.32941751803224,-163.72160340077227,-216.1208089903896,-114.98938137504595,-144.42202662773082,-223.02780014271542,-205.91748104209063,-258.01640700703695,-368.8545756660311,-479.4181475898077,-590.2358382618347,-693.407164196099,-807.6316315265653,-914.1236428166053,-162.23431029537596,-136.65969568691236,-248.6143249103954,-110.59728886490717,-110.59728886490957
326.0,-109.53704561976626,-193.67467923758565,-163.17206059875286,-215.3977797186764,-114.59192902603174,-143.9569404080717,-222.31376428909317,-205.26670496571813,-257.19950136047476,-367.6956758383523,-477.91711083987013,-588.4124898711966,-691.2706161588179,-805.145533581623,-911.3127257808245,-161.70808817755739,-136.2198832274434,-247.82228306060094,-110.23019280032878,-110.23019280033137
327.0,-109.17221036446499,-193.02397166612533,-162.62589746473225,-214.67920141313536,-114.19694352012712,-143.49470323468955,-221.60411849032724,-204.61990439737247,-256.3875893598308,-366.54385284258433,-476.4252287687691,-586.6002627877956,-689.1470899406784,-802.6745870965326,-908.5189304076263,-161.18509172839688,-135.78278290540567,-247.03508883898135,-109.86535754502772,-109.86535754503049
