"T","K2Si2O5_-a,monoc","KAlSi3O8_microcl","Na2Si2O5","SiO2_quartz,low;","KAlSi3O8_h.sanid","SiO2_tridymaite,"
273.0,0.004271226957783869,0.039230579587129805,0.01613451316259521,0.7602059945528078,"",""
278.0,0.004271226957783869,0.039230579587129805,0.01613451316259521,0.7602059945528078,"",""
283.0,0.004271226957783869,0.039230579587129805,0.01613451316259521,0.7602059945528078,"",""
288.0,0.004271226957783869,0.039230579587129805,0.01613451316259521,0.7602059945528078,"",""
293.0,0.004271226957783869,0.039230579587129805,0.01613451316259521,0.7602059945528078,"",""
298.0,0.004271226957783869,0.039230579587129805,0.01613451316259521,0.7602059945528078,"",""
303.0,0.004271226957783869,0.039230579587129805,0.01613451316259521,0.7602059945528078,"",""
308.0,0.004271226957783869,0.039230579587129805,0.01613451316259521,0.7602059945528078,"",""
313.0,0.004271226957783869,0.039230579587129805,0.01613451316259521,0.7602059945528078,"",""
318.0,0.004271226957783869,0.039230579587129805,0.01613451316259521,0.7602059945528078,"",""
323.0,0.004271226957783869,0.039230579587129805,0.01613451316259521,0.7602059945528078,"",""
328.0,0.004271226957783869,0.039230579587129805,0.01613451316259521,0.7602059945528078,"",""
333.0,0.004271226957783869,0.039230579587129805,0.01613451316259521,0.7602059945528078,"",""
338.0,0.004271226957783869,0.039230579587129805,0.01613451316259521,0.7602059945528078,"",""
343.0,0.004271226957783869,0.039230579587129805,0.01613451316259521,0.7602059945528078,"",""
348.0,0.004271226957783869,0.039230579587129805,0.01613451316259521,0.7602059945528078,"",""
353.0,0.004271226957783869,0.039230579587129805,0.01613451316259521,0.7602059945528078,"",""
358.0,0.004271226957783869,0.039230579587129805,0.01613451316259521,0.7602059945528078,"",""
363.0,0.004271226957783869,0.039230579587129805,0.01613451316259521,0.7602059945528078,"",""
368.0,0.004271226957783869,0.039230579587129805,0.01613451316259521,0.7602059945528078,"",""
373.0,0.004271226957783869,0.039230579587129805,0.01613451316259521,0.7602059945528078,"",""
378.0,0.004271226957783869,0.039230579587129805,0.01613451316259521,0.7602059945528078,"",""
383.0,0.004271226957783869,0.039230579587129805,0.01613451316259521,0.7602059945528078,"",""
388.0,0.004271226957783869,0.039230579587129805,0.01613451316259521,0.7602059945528078,"",""
393.0,0.004271226957783869,0.039230579587129805,0.01613451316259521,0.7602059945528078,"",""
398.0,0.004271226957783869,0.039230579587129805,0.01613451316259521,0.7602059945528078,"",""
403.0,0.004271226957783869,0.039230579587129805,0.01613451316259521,0.7602059945528078,"",""
408.0,0.004271226957783869,0.039230579587129805,0.01613451316259521,0.7602059945528078,"",""
413.0,0.004271226957783869,0.039230579587129805,0.01613451316259521,0.7602059945528078,"",""
418.0,0.004271226957783869,0.039230579587129805,0.01613451316259521,0.7602059945528078,"",""
423.0,0.004271226957783869,0.039230579587129805,0.01613451316259521,0.7602059945528078,"",""
428.0,0.004271226957783869,0.039230579587129805,0.01613451316259521,0.7602059945528078,"",""
433.0,0.004271226957783869,0.039230579587129805,0.01613451316259521,0.7602059945528078,"",""
438.0,0.004271226957783869,0.039230579587129805,0.01613451316259521,0.7602059945528078,"",""
443.0,0.004271226957783869,0.039230579587129805,0.01613451316259521,0.7602059945528078,"",""
446.388671875,0.004271226957783869,0.039230579587129805,0.01613451316259521,0.7602059945528078,"",""
446.388671875,0.004271226957783869,"",0.01613451316259521,0.7602059945528078,0.039230579587129805,""
451.388671875,0.004271226957783869,"",0.01613451316259521,0.7602059945528078,0.039230579587129805,""
